,Name,Price,Discount Price
0,Ketozol Shampoo 2%,৳230,৳207
1,Dancel Shampoo 120ml 2%,৳300,৳285
2,Sergel 20 20mg,৳70,৳63.30
3,Ecosprin 75 75mg,৳11.20,৳10.08
4,Pantonix 20 20mg,৳98,৳88.62
5,Monas 10 10mg,৳262.50,৳237.45
6,Thyrox 50 50mcg,৳66,৳59.70
7,Fexo 120 120mg,৳90,৳81.40
8,Napa 500 500mg,৳12,৳10.80
9,Ace 500 Suppository 500mg,৳50,৳45
10,Omidon 10 10mg,৳52.50,৳47.40
11,Renova XR 665mg,৳20,৳18
12,Emistat 8mg/4ml,৳160,৳144
13,Emistat 4mg/5ml,৳50,৳45
14,Tamen Turbo 65mg+500mg,৳30,৳27
15,Neosaline 10.5gm,৳6,৳5.70
16,Pregnancy HCG Test Midstream Strip (SmartCure),৳120,৳43.57
17,Femipil,৳24.64,৳22.64
18,Femicon,৳45.36,৳43.12
19,Peuli 30,৳195,৳187.10
20,Vitabiotics Wellman Conception 30 Tablets,৳2389.80,৳2150.70
21,Vitabiotics Pregnacare Breast-Feeding for After Pregnancy - 84 Tablets,৳4200,৳3360
22,"NatureBell DHEA 50mg, 300 Capsules",৳5490,৳4300
23,Progest 10 10mg,৳600,৳542.85
24,Mixtard 30 Vial 100IU/ml,৳415,৳389
25,Maxsulin 30/70 100IU/ml,৳415,৳373.50
26,Actrapid Vial 100IU/ml,৳415,৳373.50
27,Mixtard 30 Penfill 100IU/ml,৳510,৳485.39
28,Lantus Cartidge 100IU/ml,৳982,৳900
29,NovoMix 30 Penfill 100IU/ml,৳720,৳700
30,NovoRapid Penfill 100IU/ml,৳720,৳684
31,Maxsulin 30/70 Penset 100IU/ml,৳222,৳199.80
32,Bizoran 5/20 5mg+20mg,৳180,৳162.75
33,Bislol 2.5 2.5mg,৳98,৳88.62
34,Rosuva 10 10mg,৳220,৳199
35,Atova 10 10mg,৳180,৳162.75
36,OMG-3 1gm,৳110,৳99
37,Rosuva 5 5mg,৳120,৳108.50
38,Bislol 5 5mg,৳161,৳145.60
39,Amdocal 5 5mg,৳82.35,৳74.12
40,Calbo D 500mg+200IU,৳240,৳216.90
41,Neuro B (30),৳300,৳271.20
42,Xinc 20 20mg,৳35,৳31.50
43,Bextram GOLD (30),৳360,৳324
44,CodLiver Oil 85IU,৳45,৳40.50
45,Coralcal-DX 600mg+400IU,৳170,৳153.80
46,Neurocare,৳300,৳270
47,Xinc B Tablet,৳105,৳94.50
48,Antazol 0.1% 0.10%,৳20,৳18
49,Avaspray Nasal Spray 27.5mcg/Spray,৳275,৳247.50
50,Afrin 0.05% 0.05%,৳70,৳63
51,Norsol Drop 10ml 0.90%,৳23,৳20.70
52,Rhinozol 0.1% 0.10%,৳20,৳18
53,Micoral Gel 15gm 2%,৳90,৳81
54,Neotison Nasal Spray 27.5mcg/Spray,৳275,৳247.50
55,Bantovet-N Cream 0.1%+0.5% w/w,৳35,৳31.50
